Thu Jun 27 21:56:43 2024    bettertouch.prof

         423783 function calls (422998 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       67    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\loader.py:1(<module>)
     1444    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       25    0.000    0.000    0.001    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1(<module>)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        7    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      127    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1681(path_hook_for_FileFinder)
       60    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       14    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:509(_compile_info)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\signal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\argparse.py:1(<module>)
     1326    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\glob.py:1(<module>)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_validate_timestamp_pyc)
       13    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1509    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:233(__next)
      524    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:164(__getitem__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\doctest.py:1149(DocTestRunner)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py:1(<module>)
       36    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:389(__getattr__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:976(find_spec)
      360    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\shlex.py:1(<module>)
      913    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialutil.py:1(<module>)
      320    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\threading.py:1(<module>)
       44    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:983(create_module)
      551    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    88/33    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\datetime.py:1(<module>)
        7    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:515(__new__)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1294(exec_module)
      369    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       29    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\functools.py:35(update_wrapper)
      225    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:79(<lambda>)
      226    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:84(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pygetwindow\_pygetwindow_win.py:1(<module>)
      936    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       79    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      228    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:94(<lambda>)
      227    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:89(<lambda>)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(find_spec)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1220(__exit__)
       21    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:585(_genericPyAutoGUIChecks)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      102    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:833(__setattr__)
      523    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      122    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:286(tell)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\suite.py:1(<module>)
       36    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:396(__getitem__)
       32    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:709(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\heapq.py:1(<module>)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      3/2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:371(inner)
       28    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1538(__and__)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py:1(<module>)
      3/2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:487(__getitem__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1563(__init__)
       19    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:94(closegroup)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pytweening\__init__.py:1(<module>)
       25    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pymsgbox\_native_win.py:1(<module>)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1216(__enter__)
        4    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:343(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\typing.py:666(Union)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialutil.py:165(SerialBase)
       32    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1112(__new__)
        4    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1528(__or__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:991(exec_module)
      180    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      240    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       74    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       12    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:384(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\pdb.py:207(Pdb)
       52    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
